produto,estoque_max,estoque_atual,lead_time_reposicao,custo_produto
Milho Doce,313,10,5,2.83
Ervilha,308,1,4,2.32
Grão de Bico,321,26,8,0.84
Feijão Branco,488,31,9,3.17
Feijão Preto,401,3,9,3.37
Lentilha,419,36,3,2.84
Cenoura,330,3,8,0.99
Beterraba,230,19,4,3.09
Pepino em Conserva,336,12,5,2.95
Pimento Vermelho,306,27,5,2.45
Pimento Amarelo,277,58,6,3.09
Mistura de Legumes,226,49,3,2.3
Cogumelos,321,75,4,2.95
Tomate Pelado,561,114,7,1.89
Tomate Seco,242,44,6,1.71
Alcachofra,521,139,9,2.23
Espargos,243,35,10,0.82
Abobrinha,379,80,6,3.48
Berinjela,528,105,4,1.43
Chucrute,220,41,7,1.25
Palmito,463,225,6,2.03
Milho Baby,539,259,4,1.96
Cebola em Conserva,276,156,9,2.54
Alho em Conserva,270,90,4,1.82
Mix Mediterrâneo,389,166,3,2.63
Jardineira de Legumes,337,109,6,1.34
Feijão Vermelho,283,167,3,2.97
Feijão Frade,381,149,9,1.06
Soja,553,175,4,2.61
Espinafre,400,123,7,3.16
Brócolis,585,370,3,2.08
Couve Flor,454,394,5,1.52
Abóbora,203,169,6,2.77
Puré de Tomate,230,145,8,3.19
Milho Picante,276,250,8,1.84
Ervilha com Cenoura,316,272,7,1.16
Mix Asiático,222,218,4,2.18
Mix Orgânico,271,266,8,2.35
Legumes Grelhados,221,150,5,1.19
Pimento Assado,509,374,3,2.15
Feijão Manteiga,304,202,9,1.23
Lentilha Vermelha,508,428,3,1.32
